전출지별,전입지별,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,,이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명)
전국,전라북도,"136,856","165,843","153,347","185,754","173,873","368,163","236,947","271,557","302,745","257,738","334,630","341,182","328,446","359,443","325,918","332,232","320,907","336,104","346,268","324,263","342,446","335,219","347,781","315,824","302,520","361,364","319,791","325,923","345,687","366,647","350,628","370,943","338,554","397,299","329,911","311,537","327,237","332,957","322,495","314,137","305,789","308,011","271,835","258,198","274,337","261,832","248,188","232,047"
전국,전라남도,"177,536","243,793","218,180","301,023","313,318","572,277","426,056","460,561","530,257","467,410","603,459","555,593","556,325","653,216","578,625","577,823","341,022","373,887","353,613","322,329","342,318","320,000","313,436","295,599","263,849","331,240","302,707","293,862","331,140","355,423","325,511","320,992","316,647","326,582","276,573","284,412","284,276","287,179","277,906","281,051","265,600","261,239","239,026","244,329","260,278","250,104","234,132","227,504"
전국,경상북도,"407,643","470,732","519,508","605,014","585,406","1,241,147","739,579","855,263","947,641","907,292","1,004,311","441,825","403,659","438,685","400,881","397,346","424,060","456,629","440,750","402,478","437,000","449,029","412,622","421,328","392,828","419,925","416,050","395,678","388,186","424,035","380,638","380,826","384,589","371,006","360,764","374,711","391,486","380,925","363,297","367,244","354,575","363,511","335,362","329,118","337,041","344,730","315,652","311,061"
전국,경상남도,"212,521","214,358","196,534","282,238","358,116","514,805","386,917","457,139","564,057","535,159","572,251","566,967","598,107","656,220","651,485","608,176","608,659","686,554","675,152","638,537","704,656","723,250","746,907","656,486","684,247","679,704","683,550","459,955","488,910","490,751","463,895","458,485","514,140","523,882","474,081","493,352","496,713","491,542","487,356","485,349","481,955","473,757","414,556","427,658","462,239","455,384","411,952","413,179"
전국,제주특별자치도,"14,551","19,064","19,404","25,845","29,176","50,939","36,273","43,287","45,012","44,965","59,168","59,222","58,848","71,649","68,207","63,619","64,405","68,494","70,300","68,255","74,806","74,509","77,302","73,507","75,609","83,338","78,175","79,365","93,844","90,598","85,242","96,251","95,668","98,415","102,978","93,041","88,992","83,294","80,124","76,575","77,224","82,708","79,501","88,851","92,508","97,580","106,825","105,027"
서울특별시,전국,"1,448,985","1,419,016","1,210,559","1,647,268","1,819,660","2,937,093","2,495,620","2,678,007","3,028,911","2,441,242","2,602,912","2,711,478","2,865,994","3,292,353","2,919,812","2,754,023","2,688,836","2,768,999","3,199,831","2,939,473","2,817,484","2,474,117","2,500,698","2,441,965","2,476,583","2,487,230","2,370,792","2,253,203","1,936,944","2,419,111","2,266,346","2,409,733","2,424,472","2,311,691","1,973,439","2,041,756","2,210,458","2,130,928","2,083,352","1,925,452","1,848,038","1,834,806","1,658,928","1,620,640","1,661,425","1,726,687","1,655,859","1,571,423"
서울특별시,서울특별시,"1,232,619","1,158,556","985,945","1,345,508","1,511,726","2,401,970","2,041,724","2,212,213","2,518,286","1,883,742","1,985,766","2,090,599","2,200,559","2,510,626","2,208,384","2,007,557","1,934,992","2,015,454","2,431,698","2,186,860","1,972,421","1,764,051","1,764,955","1,648,211","1,666,106","1,603,840","1,571,154","1,485,450","1,256,643","1,668,474","1,582,429","1,658,076","1,672,647","1,609,693","1,345,348","1,397,713","1,521,108","1,448,604","1,426,213","1,286,855","1,199,708","1,215,122","1,069,300","1,053,008","1,098,023","1,129,529","1,061,915","1,018,807"
서울특별시,부산광역시,"11,568","11,130","11,768","16,307","22,220","27,515","23,732","27,213","29,856","28,542","29,202","30,238","30,035","31,141","28,498","27,318","26,235","26,649","25,188","22,574","22,005","20,097","19,344","18,047","17,411","17,424","18,460","17,087","16,839","17,733","15,968","16,128","16,732","16,368","15,559","15,915","17,079","17,182","17,353","17,738","17,418","18,816","16,135","16,153","17,320","17,009","15,062","14,484"
서울특별시,대구광역시,-,-,-,-,-,-,-,-,-,-,-,"14,813","14,702","16,744","14,033","13,861","14,210","14,515","13,470","13,666","12,219","11,641","11,397","11,573","11,106","11,352","11,418","10,648","10,383","11,031","9,986","9,363","9,077","10,094","9,121","9,447","9,792","10,275","9,720","10,464","10,277","10,397","10,135","10,631","10,062","10,191","9,623","8,891"
서울특별시,인천광역시,-,-,-,-,-,-,-,-,-,-,-,"54,879","45,878","57,958","66,715","67,890","58,591","58,728","68,068","73,338","103,533","80,615","72,097","67,712","64,485","62,695","58,631","60,814","53,946","54,143","52,829","52,865","55,500","44,987","41,567","46,312","47,467","51,301","50,493","45,392","46,082","51,641","49,640","47,424","43,212","44,915","43,745","40,485"
서울특별시,광주광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,"11,478","12,324","14,134","16,784","16,416","15,345","14,824","13,419","13,368","13,758","13,401","13,518","13,351","13,429","11,579","11,266","10,947","10,525","10,268","10,447","11,481","11,624","10,846","11,725","11,095","10,587","10,154","9,129","9,759","9,216","8,354","7,932"
